"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Blade","0.600","60.0","0.100","0.000","-87.5770","144.6522","0.00000","0.0000","921.599801","0.000000000","0.01215","0.19991","1.77500","0"
"Blade","1.100","60.0","0.100","0.050","-46.9102","101.0384","-0.43970","87.9398","921.599801","0.000000000","0.01200","0.19991","1.77500","0"
"Blade","1.700","60.0","0.100","0.050","61.0283","-13.0324","2.31549","92.8462","921.599801","0.000000000","0.00988","0.19999","1.77500","0"
"Blade","2.300","60.0","0.100","0.050","91.8371","-22.8583","6.35361","112.1191","921.599801","0.000000000","0.00427","0.20004","1.77500","0"
"Blade","2.900","60.0","0.100","0.050","260.9450","22.4837","12.29946","139.3010","921.599801","0.000000000","0.00548","0.20009","1.77500","0"
"Blade","3.500","60.0","0.100","0.050","266.6856","13.3731","18.92331","158.8595","921.599801","0.000000000","0.02451","0.20017","1.77500","0"
"Blade","4.100","60.0","0.100","0.050","237.9153","-18.8560","25.92112","173.2597","921.599801","0.000000000","0.02348","0.20027","1.77500","0"
"Blade","4.700","60.0","0.100","0.050","191.9045","-27.9922","33.17600","184.3791","921.599801","0.000000000","0.01104","0.20038","1.77500","0"
"Blade","5.300","60.0","0.100","0.050","231.1017","-26.6909","40.91580","194.6508","921.599801","0.000000000","0.00948","0.20046","1.77500","0"
"Blade","5.900","60.0","0.100","0.050","340.0526","5.1311","49.77673","206.9831","921.599801","0.000000000","0.01201","0.20055","1.77500","0"
"Blade","6.500","60.0","0.100","0.050","357.9993","-2.7851","59.26327","218.8996","921.599801","0.000000000","0.02580","0.20067","1.77500","0"
"Blade","7.100","60.0","0.100","0.050","313.2649","-34.8423","68.91138","229.0016","921.599801","0.000000000","0.02573","0.20080","1.77500","0"
"Blade","7.700","60.0","0.100","0.050","277.9471","-34.7231","78.68101","237.6571","921.599801","0.000000000","0.01304","0.20092","1.77500","0"
"Blade","8.200","60.0","0.100","0.000","240.3293","-36.2314","84.61260","243.2608","921.599801","0.000000000","0.00206","0.20100","1.77500","0"
