"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Blade","0.600","60.0","0.100","0.000","-78.8169","135.0011","0.00000","0.0000","921.599801","0.000000000","0.01030","0.19991","1.77500","0"
"Blade","1.100","60.0","0.100","0.050","-33.3688","87.4292","-0.36039","72.0772","921.599801","0.000000000","0.01089","0.19991","1.77500","0"
"Blade","1.700","60.0","0.100","0.050","61.0623","-9.5188","2.19268","83.8460","921.599801","0.000000000","0.00744","0.19998","1.77500","0"
"Blade","2.300","60.0","0.100","0.050","78.6352","-22.1543","5.80473","100.7178","921.599801","0.000000000","0.00364","0.20004","1.77500","0"
"Blade","2.900","60.0","0.100","0.050","227.8727","24.0226","10.92290","122.7877","921.599801","0.000000000","0.00494","0.20009","1.77500","0"
"Blade","3.500","60.0","0.100","0.050","234.0500","13.5276","16.64989","139.1345","921.599801","0.000000000","0.02081","0.20017","1.77500","0"
"Blade","4.100","60.0","0.100","0.050","194.1546","-20.7230","22.59961","150.5905","921.599801","0.000000000","0.01518","0.20027","1.77500","0"
"Blade","4.700","60.0","0.100","0.050","166.0475","-21.2655","28.83709","159.8865","921.599801","0.000000000","0.00885","0.20036","1.77500","0"
"Blade","5.300","60.0","0.100","0.050","189.6202","-20.0344","35.50512","168.5909","921.599801","0.000000000","0.00848","0.20045","1.77500","0"
"Blade","5.900","60.0","0.100","0.050","300.8228","4.2483","43.00000","178.5385","921.599801","0.000000000","0.01042","0.20054","1.77500","0"
"Blade","6.500","60.0","0.100","0.050","309.9309","-3.5038","51.13115","188.6294","921.599801","0.000000000","0.02230","0.20064","1.77500","0"
"Blade","7.100","60.0","0.100","0.050","263.8586","-34.4413","59.34806","197.0164","921.599801","0.000000000","0.02039","0.20075","1.77500","0"
"Blade","7.700","60.0","0.100","0.050","218.4933","-34.7671","67.49508","203.6926","921.599801","0.000000000","0.01159","0.20085","1.77500","0"
"Blade","8.200","60.0","0.100","0.000","196.0461","-31.4900","72.54639","208.4028","921.599801","0.000000000","0.00167","0.20091","1.77500","0"
