"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","30.0","0.100","0.000","-0.6539","4.9702","0.00000","0.0000","921.599801","0.000000000","0.00268","0.20000","1.77500","0"
"Blade","0.600","30.0","0.100","0.000","-40.5685","351.2407","0.00000","0.0000","921.599801","0.000000000","0.01021","0.19983","1.77500","0"
"Blade","1.100","30.0","0.100","0.050","-14.9976","411.0859","-0.20837","41.6734","921.599801","0.000000000","0.00442","0.19969","1.77500","0"
"Blade","1.700","30.0","0.100","0.050","25.4593","120.3522","1.00277","41.1279","921.599801","0.000000000","0.00519","0.19980","1.77500","0"
"Blade","2.300","30.0","0.100","0.050","52.8229","60.8187","3.11791","54.6864","921.599801","0.000000000","0.00193","0.19986","1.77500","0"
"Blade","2.900","30.0","0.100","0.050","161.7571","-27.3935","6.04847","68.2650","921.599801","0.000000000","0.00286","0.19992","1.77500","0"
"Blade","3.500","30.0","0.100","0.050","149.7620","-55.6550","9.69635","81.0644","921.599801","0.000000000","0.02206","0.20002","1.77500","0"
"Blade","4.100","30.0","0.100","0.050","102.5441","-32.0360","13.26167","88.3766","921.599801","0.000000000","0.00653","0.20011","1.77500","0"
"Blade","4.700","30.0","0.100","0.050","93.7353","-11.3667","17.11283","94.8623","921.599801","0.000000000","0.00372","0.20020","1.77500","0"
"Blade","5.300","30.0","0.100","0.050","118.5834","-26.9460","21.18819","100.5809","921.599801","0.000000000","0.00653","0.20032","1.77500","0"
"Blade","5.900","30.0","0.100","0.050","204.9206","-85.1604","25.83023","107.2120","921.599801","0.000000000","0.00790","0.20045","1.77500","0"
"Blade","6.500","30.0","0.100","0.050","183.0806","-95.7628","30.74160","113.3756","921.599801","0.000000000","0.01716","0.20057","1.77500","0"
"Blade","7.100","30.0","0.100","0.050","138.7693","-74.3781","35.48993","117.7922","921.599801","0.000000000","0.00852","0.20069","1.77500","0"
"Blade","7.700","30.0","0.100","0.050","129.5336","-46.5780","40.30633","121.6210","921.599801","0.000000000","0.00690","0.20081","1.77500","0"
"Blade","8.200","30.0","0.100","0.000","39.1796","-45.9970","43.34559","124.4994","921.599801","0.000000000","0.00096","0.20088","1.77500","0"
