id,motion,shape,x,y,z,hx,hy,hz,axx,axy,axz,ayx,ayy,ayz,azx,azy,azz
48,0,0,-0.692075,0.000000,1.513199,0.038000,0.235000,0.015000,0.999848,0.000000,0.017452,0.000000,1.000000,0.000000,-0.017452,0.000000,0.999848
49,0,0,-0.627389,0.000000,1.531747,0.038000,0.235000,0.015000,0.857167,0.000000,0.515038,0.000000,1.000000,0.000000,-0.515038,0.000000,0.857167
50,0,0,-0.580643,0.000000,1.580154,0.038000,0.235000,0.015000,0.484810,0.000000,0.874620,0.000000,1.000000,0.000000,-0.874620,0.000000,0.484810
51,4,0,-1.162479,0.000000,1.708368,0.470000,0.205000,0.015000,0.970296,0.000000,-0.241922,0.000000,1.000000,0.000000,0.241922,0.000000,0.970296
52,3,1,-1.606422,0.000000,1.870586,0.065000,0.205000,0.065000,0.970296,0.000000,-0.241922,0.000000,1.000000,0.000000,0.241922,0.000000,0.970296
53,3,1,-0.694344,0.000000,1.643179,0.065000,0.205000,0.065000,0.970296,0.000000,-0.241922,0.000000,1.000000,0.000000,0.241922,0.000000,0.970296
54,0,0,-0.045204,0.000000,1.514238,0.061000,0.250000,0.012500,0.529919,0.000000,0.848048,0.000000,1.000000,0.000000,-0.848048,0.000000,0.529919
55,0,0,-0.004671,0.000000,1.625601,0.061000,0.250000,0.012500,0.139173,0.000000,0.990268,0.000000,1.000000,0.000000,-0.990268,0.000000,0.139173
56,0,0,-0.012938,0.000000,1.743822,0.061000,0.250000,0.012500,-0.275637,0.000000,0.961262,0.000000,1.000000,0.000000,-0.961262,0.000000,-0.275637
57,0,0,-0.068575,0.000000,1.848460,0.061000,0.250000,0.012500,-0.642788,0.000000,0.766044,0.000000,1.000000,0.000000,-0.766044,0.000000,-0.642788
58,0,0,-0.161962,0.000000,1.921421,0.061000,0.250000,0.012500,-0.898794,0.000000,0.438371,0.000000,1.000000,0.000000,-0.438371,0.000000,-0.898794
