case,seconds,rig,entered_trough_kg,in_trough_kg,legacy_outlet_kg,tail_cross_kg,rear_settled_kg,signed_advance_m,displacement_m,final_mass_error_kg,nonfinite,carried,binary_sha256,arguments
PhysicalFine,27.10,0,13.525391,0.390625,11.962891,12.158203,11.669922,0.1405,0.1405,0.000000000,0,0,7232B531643BBCFC2A0E08B40A82A769F21944D8EFE972D280BBF4BD368DEC78,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=26 -log=TransportV3_PhysicalFine.log -SandRoadheader -SandMaterial=DryCorotated -SandHead=BucketWheel -SandWorkingLayout -SandLiftGuide -SandApproach -SandAdaptiveFeed -SandDenseSupport -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandDrumRPM=80 -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandDriveForceN=600 -SandGeometryAudit -SandCutTest -SandFeedEnd=50 -SandQuality=Fine"
PhysicalRepeat,60.10,0,18.400000,0.800000,14.600000,14.600000,14.200000,0.1501,0.1529,0.000000000,0,0,7232B531643BBCFC2A0E08B40A82A769F21944D8EFE972D280BBF4BD368DEC78,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=60 -log=TransportV3_PhysicalRepeat.log -SandRoadheader -SandMaterial=DryCorotated -SandHead=BucketWheel -SandWorkingLayout -SandLiftGuide -SandApproach -SandAdaptiveFeed -SandDenseSupport -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandDrumRPM=80 -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandDriveForceN=600 -SandGeometryAudit -SandCutTest -SandFeedEnd=50"
PhysicalRun,60.10,0,20.200000,0.400000,16.600000,16.600000,16.400000,0.3573,0.3573,0.000000000,0,0,7232B531643BBCFC2A0E08B40A82A769F21944D8EFE972D280BBF4BD368DEC78,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=60 -log=TransportV3_PhysicalRun.log -SandRoadheader -SandMaterial=DryCorotated -SandHead=BucketWheel -SandWorkingLayout -SandLiftGuide -SandApproach -SandAdaptiveFeed -SandDenseSupport -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandDrumRPM=80 -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandDriveForceN=600 -SandGeometryAudit -SandCutTest -SandFeedEnd=50 -SandMachineCapture"
PhysicalStop18,60.10,0,6.200000,0.000000,5.000000,5.000000,5.000000,0.0297,0.0297,0.000000000,0,0,7232B531643BBCFC2A0E08B40A82A769F21944D8EFE972D280BBF4BD368DEC78,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=60 -log=TransportV3_PhysicalStop18.log -SandRoadheader -SandMaterial=DryCorotated -SandHead=BucketWheel -SandWorkingLayout -SandLiftGuide -SandApproach -SandAdaptiveFeed -SandDenseSupport -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandDrumRPM=80 -SandSynchronous -SandDirectReaction -SandTraction -SandTractionCompensation -SandMachineMassKg=100 -SandDriveForceN=600 -SandGeometryAudit -SandCutTest -SandFeedEnd=50 -SandStopAt=18"
Rig80,36.60,1,32.000000,0.200000,22.800000,22.800000,22.800000,0.4800,0.4800,0.000000000,0,0,18310222542853D53766543FC311CE2B343F2C9682FE0E18CECB9FF2E93739EE,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_Rig80.log -SandFeedRig -SandHead=BucketWheel -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandWorkingLayout -SandApproach -SandGeometryAudit -SandDrumRPM=80 -SandLiftGuide"
RigApron,32.20,1,0.000000,0.000000,0.000000,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=32 -log=TransportV3_RigApron.log -SandFeedRig -SandHeadHeightCm=4 -SandHeadPitch=0 -SandWideTracks -SandTransferApron -SandApproach -SandGeometryAudit"
RigApronV2,36.60,1,10.400000,0.600000,1.400000,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_RigApronV2.log -SandFeedRig -SandHeadHeightCm=4 -SandHeadPitch=-8 -SandWideTracks -SandTransferApron -SandApproach -SandGeometryAudit"
RigBeltClear,36.60,1,1.200000,0.200000,1.000000,1.000000,1.000000,0.4800,0.4800,0.000000000,0,0,DE4AC206B03BB838A7E469D6398639027AE81631251934EC08F6EBF2B73202A5,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_RigBeltClear.log -SandFeedRig -SandHead=BucketWheel -SandHeadHeightCm=20 -SandHeadPitch=-14 -SandWorkingLayout -SandApproach -SandGeometryAudit -SandDrumRPM=30 -SandLiftGuide"
RigBeltDepth16,36.60,1,7.400000,1.600000,4.600000,4.800000,4.600000,0.4800,0.4800,0.000000000,0,0,DE4AC206B03BB838A7E469D6398639027AE81631251934EC08F6EBF2B73202A5,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_RigBeltDepth16.log -SandFeedRig -SandHead=BucketWheel -SandHeadHeightCm=16 -SandHeadPitch=-14 -SandWorkingLayout -SandApproach -SandGeometryAudit -SandDrumRPM=30 -SandLiftGuide"
RigBucketIntake,24.50,1,0.000000,0.000000,0.000000,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=24 -log=TransportV3_RigBucketIntake.log -SandFeedRig -SandHeadHeightCm=16 -SandHeadPitch=0 -SandIntakeV3 -SandHead=BucketWheel"
RigClosedGuide,31.10,1,3.600000,2.400000,0.000000,,,0.4800,0.4800,0.000000000,0,0,71EB4ECCBB698526AB272CD9139FFAB79EE3E0AFFA05D0DDC261CA9C71AD1375,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=30 -log=TransportV3_RigClosedGuide.log -SandFeedRig -SandHead=BucketWheel -SandHeadHeightCm=20 -SandHeadPitch=-14 -SandWorkingLayout -SandApproach -SandGeometryAudit -SandDrumRPM=30 -SandLiftGuide -SandMachineCapture"
RigClosedGuideFine,31.10,1,1.025391,0.146484,0.488281,,,0.4800,0.4800,0.000000000,0,0,71EB4ECCBB698526AB272CD9139FFAB79EE3E0AFFA05D0DDC261CA9C71AD1375,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=30 -log=TransportV3_RigClosedGuideFine.log -SandFeedRig -SandHead=BucketWheel -SandHeadHeightCm=20 -SandHeadPitch=-14 -SandWorkingLayout -SandApproach -SandGeometryAudit -SandDrumRPM=30 -SandLiftGuide -SandQuality=Fine"
RigGuard,36.60,1,27.200000,11.200000,0.200000,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_RigGuard.log -SandFeedRig -SandHeadHeightCm=0 -SandHeadPitch=-14 -SandWideTracks -SandRaisedDrum -SandReturnGuard -SandApproach -SandGeometryAudit -SandDrumRPM=30"
RigGuide,24.50,1,39.800001,13.600000,0.000000,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=24 -log=TransportV3_RigGuide.log -SandFeedRig -SandHeadHeightCm=4 -SandHeadPitch=-8 -SandLiftGuide"
RigHigh,24.50,1,0.000000,0.000000,0.000000,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=24 -log=TransportV3_RigHigh.log -SandFeedRig -SandHeadHeightCm=16 -SandHeadPitch=0"
RigIntake,24.50,1,0.000000,0.000000,0.000000,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=24 -log=TransportV3_RigIntake.log -SandFeedRig -SandHeadHeightCm=16 -SandHeadPitch=0 -SandIntakeV3"
RigIntakeGuide,24.50,1,0.000000,0.000000,0.000000,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=24 -log=TransportV3_RigIntakeGuide.log -SandFeedRig -SandHeadHeightCm=16 -SandHeadPitch=0 -SandIntakeV3 -SandLiftGuide"
RigLow,24.50,1,27.800000,4.600000,0.800000,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=24 -log=TransportV3_RigLow.log -SandFeedRig -SandHeadHeightCm=4 -SandHeadPitch=-8"
RigLowFine,24.50,1,10.302734,0.537109,3.320312,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=24 -log=TransportV3_RigLowFine.log -SandFeedRig -SandHeadHeightCm=4 -SandHeadPitch=-8 -SandQuality=Fine"
RigPocket,36.60,1,0.600000,0.000000,0.000000,,,0.4800,0.4800,0.000000000,0,0,4FF43C9460CAFD90BFE5493B525523F6CD13608079BA0BCD1D0F22222EC5D0D0,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_RigPocket.log -SandFeedRig -SandHead=BucketWheel -SandHeadHeightCm=20 -SandHeadPitch=-14 -SandWorkingLayout -SandApproach -SandGeometryAudit -SandDrumRPM=30 -SandLiftGuide"
RigRaised,36.60,1,17.000000,11.600000,0.000000,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_RigRaised.log -SandFeedRig -SandHeadHeightCm=0 -SandHeadPitch=-14 -SandWideTracks -SandRaisedDrum -SandApproach -SandGeometryAudit -SandDrumRPM=30"
RigShallow30,36.60,1,0.000000,0.000000,0.000000,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_RigShallow30.log -SandFeedRig -SandHeadHeightCm=16 -SandHeadPitch=-8 -SandWideTracks -SandTransferApron -SandApproach -SandGeometryAudit -SandDrumRPM=30"
RigUClear,36.60,1,2.400000,1.200000,0.000000,0.800000,0.000000,0.4800,0.4800,0.000000000,0,0,B8771C81E56398A910159915AF618566545E1C59BA07F28BB4F5ECC3243D9976,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_RigUClear.log -SandFeedRig -SandHead=BucketWheel -SandHeadHeightCm=20 -SandHeadPitch=-14 -SandWorkingLayout -SandApproach -SandGeometryAudit -SandDrumRPM=30 -SandLiftGuide"
RigWideLow,24.50,1,32.800000,9.800000,2.200000,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=24 -log=TransportV3_RigWideLow.log -SandFeedRig -SandHeadHeightCm=4 -SandHeadPitch=-8 -SandWideTracks"
RigWorkingClear,36.60,1,0.000000,0.000000,0.000000,,,,0.4800,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_RigWorkingClear.log -SandFeedRig -SandHeadHeightCm=20 -SandHeadPitch=-14 -SandWorkingLayout -SandApproach -SandGeometryAudit -SandDrumRPM=30"
RigWorkingGuide,36.60,1,0.000000,0.000000,0.000000,,,,0.4800,0.000000000,0,0,1F9095FC664E4E5475DBB2486CB1E9E5C8F19884F5BD7E59BA5E6529837F5721,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=36 -log=TransportV3_RigWorkingGuide.log -SandFeedRig -SandHeadHeightCm=20 -SandHeadPitch=-14 -SandWorkingLayout -SandApproach -SandGeometryAudit -SandDrumRPM=30 -SandLiftGuide"
SyncCompLow,24.50,0,14.800000,8.400000,3.400000,,,,0.8271,0.000000000,0,0,not recorded in early pilot,"""${REPO}\SandExcavator.uproject"" -game -d3d12 -sm6 -windowed -ResX=1280 -ResY=720 -unattended -nosound -SandRoadheader -SandRoadheaderTest -SandMaterial=DryCorotated -SandTestDuration=24 -log=TransportV3_SyncCompLow.log -SandSynchronous -SandTraction -SandTractionCompensation -SandCutTest -SandHeadHeightCm=4 -SandHeadPitch=-8"
