id,motion,shape,friction,x,y,z,hx,hy,hz,axx,axy,axz,ayx,ayy,ayz,azx,azy,azz
35,2,0,-1.000000,-1.580012,0.000000,1.742182,0.018000,0.220000,0.014000,-0.984808,0.000000,0.173648,0.000000,1.000000,0.000000,-0.173648,0.000000,-0.984808
36,2,0,-1.000000,-1.627772,0.000000,1.590166,0.018000,0.220000,0.014000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
37,2,0,-1.000000,-1.406347,0.000000,1.551123,0.018000,0.220000,0.014000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
38,2,0,-1.000000,-1.184922,0.000000,1.512080,0.018000,0.220000,0.014000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
39,2,0,-1.000000,-0.963497,0.000000,1.473036,0.018000,0.220000,0.014000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
40,2,0,-1.000000,-0.742072,0.000000,1.433993,0.018000,0.220000,0.014000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
41,0,0,-1.000000,-0.380761,-0.235000,1.694205,0.270000,0.015000,0.220000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
42,0,0,-1.000000,-0.380761,0.235000,1.694205,0.270000,0.015000,0.220000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
43,0,0,-1.000000,-0.435819,0.000000,1.468335,0.145000,0.220000,0.015000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
44,0,0,-1.000000,-1.182748,0.000000,1.464987,0.460000,0.250000,0.015000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
45,0,0,-1.000000,-1.172329,-0.250000,1.524075,0.560000,0.015000,0.085000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
46,0,0,-1.000000,-1.172329,0.250000,1.524075,0.560000,0.015000,0.085000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
47,4,0,-1.000000,-1.169725,0.000000,1.538847,0.460000,0.220000,0.015000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
48,3,1,-1.000000,-1.614054,0.000000,1.667966,0.065000,0.220000,0.065000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
49,3,1,-1.000000,-0.708031,0.000000,1.508209,0.065000,0.220000,0.065000,0.984808,0.000000,-0.173648,0.000000,1.000000,0.000000,0.173648,0.000000,0.984808
