"case","t","angle","depth","speed","FxN","FzN","workJ","meanAbsFxN","massKg","massError","kineticJ","comZ","spanX","nonfinite"
"Blade","0.100","60.0","0.100","0.000","-0.0000","-0.0000","0.00000","0.0000","921.599801","0.000000000","0.00000","0.20000","1.77500","0"
"Blade","0.600","60.0","0.100","0.000","-78.8169","135.0011","0.00000","0.0000","921.599801","0.000000000","0.01030","0.19991","1.77500","0"
"Blade","1.100","60.0","0.100","0.050","-33.3682","87.4287","-0.36038","72.0766","921.599801","0.000000000","0.01089","0.19991","1.77500","0"
"Blade","1.700","60.0","0.100","0.050","61.0721","-9.5183","2.19274","83.8476","921.599801","0.000000000","0.00735","0.19998","1.77500","0"
"Blade","2.300","60.0","0.100","0.050","78.6561","-22.1437","5.80531","100.7267","921.599801","0.000000000","0.00364","0.20004","1.77500","0"
"Blade","2.900","60.0","0.100","0.050","227.8597","23.9957","10.92334","122.7923","921.599801","0.000000000","0.00494","0.20009","1.77500","0"
"Blade","3.500","60.0","0.100","0.050","234.0309","13.5264","16.64849","139.1234","921.599801","0.000000000","0.02079","0.20017","1.77500","0"
"Blade","4.100","60.0","0.100","0.050","194.1568","-20.7087","22.60084","150.5986","921.599801","0.000000000","0.01511","0.20027","1.77500","0"
"Blade","4.700","60.0","0.100","0.050","166.1404","-21.3598","28.84054","159.9054","921.599801","0.000000000","0.00889","0.20036","1.77500","0"
"Blade","5.300","60.0","0.100","0.050","189.4855","-20.1514","35.50424","168.5870","921.599801","0.000000000","0.00846","0.20045","1.77500","0"
"Blade","5.900","60.0","0.100","0.050","301.2892","4.5841","43.00184","178.5461","921.599801","0.000000000","0.01045","0.20054","1.77500","0"
"Blade","6.500","60.0","0.100","0.050","310.1628","-3.5728","51.13427","188.6409","921.599801","0.000000000","0.02240","0.20064","1.77500","0"
"Blade","7.100","60.0","0.100","0.050","264.0956","-34.3086","59.35144","197.0276","921.599801","0.000000000","0.02023","0.20075","1.77500","0"
"Blade","7.700","60.0","0.100","0.050","218.6871","-34.6715","67.50220","203.7140","921.599801","0.000000000","0.01164","0.20085","1.77500","0"
"Blade","8.200","60.0","0.100","0.000","196.2717","-31.4669","72.55942","203.6149","921.599801","0.000000000","0.00166","0.20091","1.77500","0"
